"STATION","NAME","DATE","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT22"
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-09",,"78","61","    1",,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-10",,"68","59",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-11",,"71","55",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-12",,"77","60",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-13",,"84","65",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-14",,"79","67",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-15",,"81","67",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-16",,"87","67",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-17",,"86","74",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-18",,"93","75",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-19",,"91","77",,,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-20",,"89","73",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-21",,"85","71",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-22",,"91","70",,,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-23",,"91","76",,,"    1",,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-24",,"78","70","    1",,"    1",,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-25",,"77","70","    1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-26",,"79","72","    1",,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-27",,"83","73",,,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-28",,"88","73","    1",,,,,,,"    1",,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-29",,"86","71","    1",,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-06-30",,"83","67",,,,,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-01",,"88","69",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-02",,"92","74",,,"    1",,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-03",,"91","76",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-04",,"92","80",,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-05",,"82","70","    1",,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-06",,"79","64","    1",,,,,,,,,,"    1",,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-07",,"82","66",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-08",,"83","70",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-09",,"86","74",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-10",,"85","71",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-11",,"93","74",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-12",,"85","74","    1",,"    1",,,,,"    1",,"    1",,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-13",,"87","72","    1",,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-14",,"88","71",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-15",,"83","73",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-16",,"92","73",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-17",,"98","77",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-18",,"100","74",,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-19",,"86","74",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-20",,"82","72",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-21",,"87","72",,,"    1",,"    1",,,"    1",,,,,,"    1",,"    1",,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-22",,"85","75","    1",,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-23",,"80","70",,,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-24",,"87","71",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-25",,"87","75",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-26",,"87","74",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-27",,"90","77",,,"    1",,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-28",,"94","77",,,"    1",,,,,,,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-29",,"93","78",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-30",,"91","80",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-07-31",,"95","75",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-01",,"100","83",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-02",,"102","86",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-03",,"100","82",,,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-04",,"88","80",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-05",,"92","75",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-06",,"86","73",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-07",,"90","77",,,,,,,,"    1",,,,,,"    1",,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-08",,"88","75",,,,,,,,"    1",,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-09",,"85","70",,,,,,,,,,,,,,,,,,
"USW00014732","LAGUARDIA AIRPORT, NY US","2006-08-10",,"86","70","    1",,"    1",,,,,"    1",,,,,,"    1",,,,
